2025-04-13T05:35:23.064045500 - Início do scan...
2025-04-13T05:35:28.118681300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-18\desktop.ini
2025-04-13T05:35:28.185817700 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1000\desktop.ini
2025-04-13T05:35:28.337785400 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I03ZZJQ
2025-04-13T05:35:28.473336300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I0QYYSJ
2025-04-13T05:35:28.599300500 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I1PGTAN.pdf
2025-04-13T05:35:28.747194300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I2FMGP5
2025-04-13T05:35:28.888757500 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I2SG7CQ
2025-04-13T05:35:29.007791300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I45FUCO.png
2025-04-13T05:35:29.125090900 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I4KFNXX.png
2025-04-13T05:35:29.243667800 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I4QQPSY.png
2025-04-13T05:35:29.358960900 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I64IQ0X
2025-04-13T05:35:29.495951400 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$I8ARQWD.txt
